"Bedrijfstakken/branches (SBI 2008) ";"Regio's";"Perioden";"Banen van werknemers in december (x 1 000)"
"K Financiële dienstverlening";"Overijssel (PV)";"2024 december*";"     8.9"
"K Financiële dienstverlening";"Flevoland (PV)";"2024 december*";"     1.3"
"K Financiële dienstverlening";"Gelderland (PV)";"2024 december*";"    18.1"
"K Financiële dienstverlening";"Utrecht (PV)";"2024 december*";"    44.5"
"K Financiële dienstverlening";"Noord-Holland (PV)";"2024 december*";"    79.3"
"K Financiële dienstverlening";"Zuid-Holland (PV)";"2024 december*";"    39.8"
"K Financiële dienstverlening";"Zeeland (PV)";"2024 december*";"     2.1"
"K Financiële dienstverlening";"Noord-Brabant (PV)";"2024 december*";"    26.7"
"K Financiële dienstverlening";"Limburg (PV)";"2024 december*";"     8.5"
"L Verhuur en handel van onroerend goed";"Nederland, Buitenland, Niet in te delen";"2024 december*";"    79.3"
"L Verhuur en handel van onroerend goed";"Nederland";"2024 december*";"    79.2"
"L Verhuur en handel van onroerend goed";"Nederland; niet in te delen";"2024 december*";"     0.1"
"L Verhuur en handel van onroerend goed";"Groningen (PV)";"2024 december*";"     2.4"
"L Verhuur en handel van onroerend goed";"Fryslân (PV)";"2024 december*";"     2.1"
"L Verhuur en handel van onroerend goed";"Drenthe (PV)";"2024 december*";"     1.6"
"L Verhuur en handel van onroerend goed";"Overijssel (PV)";"2024 december*";"     4.4"
"L Verhuur en handel van onroerend goed";"Flevoland (PV)";"2024 december*";"     1.1"
"L Verhuur en handel van onroerend goed";"Gelderland (PV)";"2024 december*";"     7.9"
"L Verhuur en handel van onroerend goed";"Utrecht (PV)";"2024 december*";"     7.3"
"L Verhuur en handel van onroerend goed";"Noord-Holland (PV)";"2024 december*";"    19.4"
"L Verhuur en handel van onroerend goed";"Zuid-Holland (PV)";"2024 december*";"    17.0"
"L Verhuur en handel van onroerend goed";"Zeeland (PV)";"2024 december*";"     1.5"
"L Verhuur en handel van onroerend goed";"Noord-Brabant (PV)";"2024 december*";"    10.5"
"L Verhuur en handel van onroerend goed";"Limburg (PV)";"2024 december*";"     4.1"
"M Specialistische zakelijke diensten";"Nederland, Buitenland, Niet in te delen";"2024 december*";"   628.0"
"M Specialistische zakelijke diensten";"Nederland";"2024 december*";"   625.0"
"M Specialistische zakelijke diensten";"Nederland; niet in te delen";"2024 december*";"     3.1"
"M Specialistische zakelijke diensten";"Groningen (PV)";"2024 december*";"    13.1"
"M Specialistische zakelijke diensten";"Fryslân (PV)";"2024 december*";"    13.9"
"M Specialistische zakelijke diensten";"Drenthe (PV)";"2024 december*";"     9.8"
"M Specialistische zakelijke diensten";"Overijssel (PV)";"2024 december*";"    34.1"
"M Specialistische zakelijke diensten";"Flevoland (PV)";"2024 december*";"     8.4"
"M Specialistische zakelijke diensten";"Gelderland (PV)";"2024 december*";"    63.5"
"M Specialistische zakelijke diensten";"Utrecht (PV)";"2024 december*";"    67.0"
"M Specialistische zakelijke diensten";"Noord-Holland (PV)";"2024 december*";"   158.8"
"M Specialistische zakelijke diensten";"Zuid-Holland (PV)";"2024 december*";"   137.9"
"M Specialistische zakelijke diensten";"Zeeland (PV)";"2024 december*";"     6.9"
"M Specialistische zakelijke diensten";"Noord-Brabant (PV)";"2024 december*";"    87.9"
"M Specialistische zakelijke diensten";"Limburg (PV)";"2024 december*";"    23.7"
"N Verhuur en overige zakelijke diensten";"Nederland, Buitenland, Niet in te delen";"2024 december*";"   966.1"
"N Verhuur en overige zakelijke diensten";"Nederland";"2024 december*";"   953.5"
"N Verhuur en overige zakelijke diensten";"Nederland; niet in te delen";"2024 december*";"    12.6"
"N Verhuur en overige zakelijke diensten";"Groningen (PV)";"2024 december*";"    29.5"
"N Verhuur en overige zakelijke diensten";"Fryslân (PV)";"2024 december*";"    23.3"
"N Verhuur en overige zakelijke diensten";"Drenthe (PV)";"2024 december*";"    25.9"
"N Verhuur en overige zakelijke diensten";"Overijssel (PV)";"2024 december*";"    52.6"
"N Verhuur en overige zakelijke diensten";"Flevoland (PV)";"2024 december*";"    23.9"
"N Verhuur en overige zakelijke diensten";"Gelderland (PV)";"2024 december*";"   101.9"
